keyword,package,filename,extension
_sgtden,regmain,_sgtden.ado,ado
_sgtevaluator,regmain,_sgtevaluator.ado,ado
_sgtreg,regmain,_sgtreg.ado,ado
_slaplaceden,regmain,_slaplaceden.ado,ado
_slaplaceevaluator,regmain,_slaplaceevaluator.ado,ado
_slaplacereg,regmain,_slaplacereg.ado,ado
_snormalden,regmain,_snormalden.ado,ado
_snormalevaluator,regmain,_snormalevaluator.ado,ado
_snormalreg,regmain,_snormalreg.ado,ado
_spreg_gs2sls,sppack,_spreg_gs2sls.ado,ado
_spreg_ml,sppack,_spreg_ml.ado,ado
_sqregtrace,grqreg,_sqregtrace.ado,ado
_sspecialreg,sspecialreg,_sspecialreg.ado,ado
_stata2logic,ckvar,_stata2logic.ado,ado
_staticfc,staticfc,_staticfc.ado,ado
_stddiff,stddiff,_stddiff.ado,ado
_stden,regmain,_stden.ado,ado
_stevaluator,regmain,_stevaluator.ado,ado
_streg,regmain,_streg.ado,ado
_subsim_inst,subsim,_subsim_inst.ado,ado
_subsim_menu,subsim_2,_subsim_menu.ado,ado
_subsim_vers,subsim,_subsim_vers.ado,ado
_svm_model2stata,svmachines,_svm_model2stata.ado,ado
_svm_train,svmachines,_svm_train.ado,ado
_svy_tpm_display,tpm,_svy_tpm_display.ado,ado
_svy_twopm_display,twopm,_svy_twopm_display.ado,ado
_sw_lik,switchr,_sw_lik.ado,ado
_sw_lik2,switchr,_sw_lik2.ado,ado
_tden,regmain,_tden.ado,ado
_tesen_cpi,tesensitivity,_tesen_cpi.ado,ado
_tesen_cscale,tesensitivity,_tesen_cscale.ado,ado
_tesen_display,tesensitivity,_tesen_display.ado,ado
_tesen_estat,tesensitivity,_tesen_estat.ado,ado
_tesen_plot,tesensitivity,_tesen_plot.ado,ado
_tevaluator,regmain,_tevaluator.ado,ado
_tknz,wbopendata,_tknz.ado,ado
_treg,regmain,_treg.ado,ado
_ttest,sdtest,_ttest.ado,ado
_update_countrymetadata,wbopendata,_update_countrymetadata.ado,ado
_update_indicators,wbopendata,_update_indicators.ado,ado
_update_wbopendata,wbopendata,_update_wbopendata.ado,ado
_usespss,usespss,_usespss.ado,ado
_wbod_tmpfile1,wbopendata,_wbod_tmpfile1.ado,ado
_wbod_tmpfile2,wbopendata,_wbod_tmpfile2.ado,ado
_wbod_tmpfile3,wbopendata,_wbod_tmpfile3.ado,ado
_website,wbopendata,_website.ado,ado
_welcom_inst,welcom,_welcom_inst.ado,ado
_welcom_vers,welcom,_welcom_vers.ado,ado
_xthck,xtheckmanfe,_xthck.ado,ado
_xthckiv,xtheckmanfe,_xthckiv.ado,ado
_xtspecialreg,sspecialreg,_xtspecialreg.ado,ado
a2group,a2reg,a2group.ado,ado
a2reg,a2reg,a2reg.ado,ado
aaniv,aaniv,aaniv.ado,ado
aaplot,aaplot,aaplot.ado,ado
abar,abar,abar.ado,ado
abg,abg,abg.ado,ado
absdid,absdid,absdid.ado,ado
ac2,panelauto,ac2.ado,ado
acelong,acelong,acelong.ado,ado
acplot,acplot,acplot.ado,ado
acprplots,cprplots,acprplots.ado,ado
acreg,acreg,acreg.ado,ado
acregpackcheck,acreg,acregpackcheck.ado,ado
actest,actest,actest.ado,ado
actest9,actest,actest9.ado,ado
addSMenu,subsim_2,addSMenu.ado,ado
addbefore,addbefore,addbefore.ado,ado
addinby,addinby,addinby.ado,ado
addnotes,addnotes,addnotes.ado,ado
addplot,addplot,addplot.ado,ado
addshare,readshare,addshare.ado,ado
addtex,addtex,addtex.ado,ado
addtxt,addtxt,addtxt.ado,ado
adecomp,adecomp,adecomp.ado,ado
adelong,acelong,adelong.ado,ado
adfmaxur,adfmaxur,adfmaxur.ado,ado
adftest,adftest,adftest.ado,ado
adjacent,adjacent,adjacent.ado,ado
adjksm,adjksm,adjksm.ado,ado
adjl,egenmore,_gadjl.ado,ado
adjmean,adjmean,adjmean.ado,ado
adjprop,adjprop,adjprop.ado,ado
adjtest,mmsel,adjtest.ado,ado
adju,egenmore,_gadju.ado,ado
adjust,adjust,adjust.ado,ado
adjustrcspline,postrcspline,adjustrcspline.ado,ado
adjustrcspline_ex,postrcspline,adjustrcspline_ex.ado,ado
admetan,admetan,admetan.ado,ado
admetan_hlp_run,admetan,admetan_hlp_run.ado,ado
admetani,admetan,admetani.ado,ado
adodev,adodev,adodev.ado,ado
adoedit,adoedit,adoedit.ado,ado
adofac,adodev,adofac.ado,ado
adoind,adodev,adoind.ado,ado
adoins,adodev,adoins.ado,ado
adoinstall,adoinstall,adoinstall.ado,ado
adolist,adolist,adolist.ado,ado
adorestore,adostore,adorestore.ado,ado
adostore,adostore,adostore.ado,ado
adotype,adotype,adotype.ado,ado
aedot,aedot,aedot.ado,ado
aedots,aedot,aedots.ado,ado
aedots2,aedot,aedots2.ado,ado
aefdr,aefdr,aefdr.ado,ado
aei,rpaxioms,aei.ado,ado
aelong,acelong,aelong.ado,ado
aevolcano,aevolcano,aevolcano.ado,ado
aevolcs,aevolcano,aevolcs.ado,ado
aextlogit,aextlogit,aextlogit.ado,ado
affiliationexposure,affiliationexposure,affiliationexposure.ado,ado
aggind,aggind,aggind.ado,ado
aggreg,itsp_ado,aggreg.ado,ado
aggreg2,itsp_ado,aggreg2.ado,ado
aggrvar,subsim_1,aggrvar.ado,ado
agrm,agrm,agrm.ado,ado
aic_model_selection,aic_model_selection,aic_model_selection.ado,ado
ainequal,ainequal,ainequal.ado,ado
airnet,airnet,airnet.ado,ado
ais_tmpm,icdpic,ais_tmpm.ado,ado
ajv,jnsn,ajv.ado,ado
akdensity,akdensity,akdensity.ado,ado
akdensity0,akdensity,akdensity0.ado,ado
albatross,albatross,albatross.ado,ado
albatross_examples,albatross,albatross_examples.ado,ado
alignedpairs,alignedpairs,alignedpairs.ado,ado
alignedranks,alignedranks,alignedranks.ado,ado
alignedsets,alignedsets,alignedsets.ado,ado
alignmicro,alignmicro,alignmicro.ado,ado
allcross,allcross,allcross.ado,ado
allpossible,allpossible,allpossible.ado,ado
allsubsets,allsubsets,allsubsets.ado,ado
allsynth,allsynth,allsynth.ado,ado
alluvial,alluvial,alluvial.ado,ado
almon,almon,almon.ado,ado
almon1,almon1,almon1.ado,ado
alogit,alogit,alogit.ado,ado
alogit_p,alogit,alogit_p.ado,ado
alogit_p_fast,alogit,alogit_p_fast.ado,ado
alogit_sim,alogit,alogit_sim.ado,ado
alorenz,alorenz,alorenz.ado,ado
alphawgt,alphawgt,alphawgt.ado,ado
alphlist,listutil,alphlist.ado,ado
alsmle,alsmle,alsmle.ado,ado
altcharl,icdpic,altcharl.ado,ado
altfrdbwselect,rdmse,altfrdbwselect.ado,ado
altrdbwselect,rdmse,altrdbwselect.ado,ado
altrdvce,rdmse,altrdvce.ado,ado
ameta,ameta,ameta.ado,ado
ammaevaluator,regmain,_gammaevaluator.ado,ado
ammareg,regmain,_gammareg.ado,ado
anaoption,loevh,anaoption.ado,ado
ancestor,dag,ancestor.ado,ado
anketest,anketest,anketest.ado,ado
anogi,anogi,anogi.ado,ado
anovaplot,modeldiag,anovaplot.ado,ado
anovaplot7,modeldiag,anovaplot7.ado,ado
anymatch,anymatch,anymatch.ado,ado
anythingtodate,anythingtodate,anythingtodate.ado,ado
aov1cont,contrast,aov1cont.ado,ado
apc_cglim,apc,apc_cglim.ado,ado
apc_ie,apc,apc_ie.ado,ado
apcd,apcd,apcd.ado,ado
apcgo,apcgo,apcgo.ado,ado
apch,apch,apch.ado,ado
apctlag,apcgo,apctlag.ado,ado
apctlagb,apcgo,apctlagb.ado,ado
apoverty,apoverty,apoverty.ado,ado
appendfile,appendfile,appendfile.ado,ado
appendgz,gziputil,appendgz.ado,ado
apport,_gapport,_gapport.ado,ado
approx,python,approx.ado,ado
aprlb,persuasio,aprlb.ado,ado
aprub,persuasio,aprub.ado,ado
aps,icdpic,aps.ado,ado
archlm,archlm,archlm.ado,ado
archlm2,panelauto,archlm2.ado,ado
archqq,archqq,archqq.ado,ado
arcplot,arcplot,arcplot.ado,ado
ardl,ardl,ardl.ado,ado
ardl_estat,ardl,ardl_estat.ado,ado
ardl_p,ardl,ardl_p.ado,ado
ardlbounds,ardl,ardlbounds.ado,ado
arhomme,arhomme,arhomme.ado,ado
ari,sadi,ari.ado,ado
arimaauto,arimaauto,arimaauto.ado,ado
arimafit,arimafit,arimafit.ado,ado
arimasel,arimasel,arimasel.ado,ado
arjas_example,starjas,arjas_example.ado,ado
armadiag,armadiag,armadiag.ado,ado
armaroots,armaroots,armaroots.ado,ado
arrowplot,arrowplot,arrowplot.ado,ado
art2bin,art,art2bin.ado,ado
artbin,artbin,artbin.ado,ado
artest,boottest,artest.ado,ado
artformatnos,art,artformatnos.ado,ado
artmenu,art,artmenu.ado,ado
artpep,art,artpep.ado,ado
artsurv,art,artsurv.ado,ado
ascii,ascii,ascii.ado,ado
ascii2unicode,unicode2ascii,ascii2unicode.ado,ado
asciiplot,asciiplot,asciiplot.ado,ado
ascol,ascol,ascol.ado,ado
ascot,icdpic,ascot.ado,ado
ascvd,ascvd,ascvd.ado,ado
ascvdi,ascvd,ascvdi.ado,ado
asdbsave,subsim_1,asdbsave.ado,ado
asdoc,asdoc,asdoc.ado,ado
asgen,asgen,asgen.ado,ado
ashell,ashell,ashell.ado,ado
asinhasinh,cdfquantreg,asinhasinh.ado,ado
asinhasinhinnerv2,cdfquantreg01,asinhasinhinnerv2.ado,ado
asinhasinhinnerv3,cdfquantreg01,asinhasinhinnerv3.ado,ado
asinhasinhinnerw2,cdfquantreg01,asinhasinhinnerw2.ado,ado
asinhasinhinnerw3,cdfquantreg01,asinhasinhinnerw3.ado,ado
asinhasinhouterv2,cdfquantreg01,asinhasinhouterv2.ado,ado
asinhasinhouterv3,cdfquantreg01,asinhasinhouterv3.ado,ado
asinhasinhouterw2,cdfquantreg01,asinhasinhouterw2.ado,ado
asinhasinhouterw3,cdfquantreg01,asinhasinhouterw3.ado,ado
asinhburr7,cdfquantreg,asinhburr7.ado,ado
asinhburr8,cdfquantreg,asinhburr8.ado,ado
asinhcauchy,cdfquantreg,asinhcauchy.ado,ado
asinhcauchyinnerv2,cdfquantreg01,asinhcauchyinnerv2.ado,ado
asinhcauchyinnerv3,cdfquantreg01,asinhcauchyinnerv3.ado,ado
asinhcauchyinnerw2,cdfquantreg01,asinhcauchyinnerw2.ado,ado
asinhcauchyinnerw3,cdfquantreg01,asinhcauchyinnerw3.ado,ado
asinhcauchyouterv2,cdfquantreg01,asinhcauchyouterv2.ado,ado
asinhcauchyouterv3,cdfquantreg01,asinhcauchyouterv3.ado,ado
asinhcauchyouterw2,cdfquantreg01,asinhcauchyouterw2.ado,ado
asinhcauchyouterw3,cdfquantreg01,asinhcauchyouterw3.ado,ado
asinhlogistic,cdfquantreg,asinhlogistic.ado,ado
asinht2,cdfquantreg,asinht2.ado,ado
asl_norm,asl_norm,asl_norm.ado,ado
asl_norm_ex,asl_norm,asl_norm_ex.ado,ado
asreg,asreg,asreg.ado,ado
asrol,asrol,asrol.ado,ado
assertky,assertky,assertky.ado,ado
astile,astile,astile.ado,ado
astx,astx,astx.ado,ado
asubini,subsim_1,asubini.ado,ado
asubini2,subsim_1,asubini2.ado,ado
asubsim,subsim_1,asubsim.ado,ado
atan2,circular,_gatan2.ado,ado
atspec,icalc,atspec.ado,ado
attregtest,attregtest,attregtest.ado,ado
audit_cc,audit_cc,audit_cc.ado,ado
autofill,autofill,autofill.ado,ado
autofmt,autofmt,autofmt.ado,ado
autolog,autolog,autolog.ado,ado
autorename,autorename,autorename.ado,ado
autosum,autosum,autosum.ado,ado
avar,avar,avar.ado,ado
avar9,avar,avar9.ado,ado
avciplot,avciplot,avciplot.ado,ado
avciplots,avciplot,avciplots.ado,ado
avg_effect,avg_effect,avg_effect.ado,ado
avgper,itsp_ado,avgper.ado,ado
avplot2,avplot2,avplot2.ado,ado
avplot3,avplot3,avplot3.ado,ado
avplots2,avplot2,avplots2.ado,ado
avplots4,avplots4,avplots4.ado,ado
avplots4_7,avplots4,avplots4_7.ado,ado
axis,egenmore,_gaxis.ado,ado
axisdigit,icalc,axisdigit.ado,ado
b,bacondecomp,b.ado,ado
b1x2,b1x2,b1x2.ado,ado
b2evaluator,regmain,_gb2evaluator.ado,ado
b2reg,regmain,_gb2reg.ado,ado
ba,bacondecomp,ba.ado,ado
babibplot,babibplot,babibplot.ado,ado
bac,bacondecomp,bac.ado,ado
backrasch,backrasch,backrasch.ado,ado
backtest,mvport,backtest.ado,ado
baco,bacondecomp,baco.ado,ado
bacon,bacondecomp,bacon.ado,ado
baconde,bacondecomp,baconde.ado,ado
bacondec,bacondecomp,bacondec.ado,ado
bacondeco,bacondecomp,bacondeco.ado,ado
bacondecom,bacondecomp,bacondecom.ado,ado
bacondecomp,bacondecomp,bacondecomp.ado,ado
badiag,baplot,badiag.ado,ado
baing,baing,baing.ado,ado
balancetable,balancetable,balancetable.ado,ado
bandplot,bandplot,bandplot.ado,ado
baplot,baplot,baplot.ado,ado
barplot,barplot,barplot.ado,ado
barplot2,barplot2,barplot2.ado,ado
barxlinedraw,icalc,barxlinedraw.ado,ado
baryhat,icalc,baryhat.ado,ado
base,egenmore,_gbase.ado,ado
basetable,basetable,basetable.ado,ado
basetable_example_data,basetable,basetable_example_data.ado,ado
basicstats,subsim_1,basicstats.ado,ado
batcher,batcher,batcher.ado,ado
batplot,batplot,batplot.ado,ado
bayerhanck,bayerhanck,bayerhanck.ado,ado
bayesmixedlogit,bayesmixedlogit,bayesmixedlogit.ado,ado
bayesmixedlogitwtp,bayesmixedlogitwtp,bayesmixedlogitwtp.ado,ado
bayesmlogit,bayesmlogit,bayesmlogit.ado,ado
bcib,bcii,bcib.ado,ado
bcii,bcii,bcii.ado,ado
bcoeff,bcoeff,bcoeff.ado,ado
bcoeffs,bcoeffs,bcoeffs.ado,ado
bcss,bcss,bcss.ado,ado
bcstats,bcstats,bcstats.ado,ado
bctobit,bctobit,bctobit.ado,ado
bcuse,bcuse,bcuse.ado,ado
bdiff,bdiff,bdiff.ado,ado
beamplot,beamplot,beamplot.ado,ado
benford,benford,benford.ado,ado
beta4,betafit,beta4.ado,ado
betacoef,betacoef,betacoef.ado,ado
betafit,betafit,betafit.ado,ado
betafit_ex,betafit,betafit_ex.ado,ado
betafit_lf,betafit,betafit_lf.ado,ado
betafit_p,betafit,betafit_p.ado,ado
betaprior,betaprior,betaprior.ado,ado
betareg_lf,betafit,betareg_lf.ado,ado
betterbar,betterbar,betterbar.ado,ado
betterbarci,betterbar,betterbarci.ado,ado
bfit,poparms,bfit.ado,ado
bfmcorr,bfmcorr,bfmcorr.ado,ado
bgodfrey2,panelauto,bgodfrey2.ado,ado
bgshade,bgshade,bgshade.ado,ado
bgtest,bgtest,bgtest.ado,ado
bhatt,bhatt,bhatt.ado,ado
biascon,biasepi,biascon.ado,ado
biasconi,biasepi,biasconi.ado,ado
biasmis,biasepi,biasmis.ado,ado
biasmisi,biasepi,biasmisi.ado,ado
biasselect,biasepi,biasselect.ado,ado
biasselecti,biasepi,biasselecti.ado,ado
biassurvi,biasepi,biassurvi.ado,ado
biastab2,biasepi,biastab2.ado,ado
bibrep,bibrep,bibrep.ado,ado
bic,bic,bic.ado,ado
bicdrop1,bicdrop1,bicdrop1.ado,ado
bidensity,bidensity,bidensity.ado,ado
bigtab,bigtab,bigtab.ado,ado
bihist,bihist,bihist.ado,ado
bilgen,mmsel,bilgen.ado,ado
bimap,bimap,bimap.ado,ado
bineq,bineq,bineq.ado,ado
bineqdiff,bineq,bineqdiff.ado,ado
binolist,listutil,binolist.ado,ado
binscatter,binscatter,binscatter.ado,ado
binscatterhist,binscatterhist,binscatterhist.ado,ado
bioprobit,bioprobit,bioprobit.ado,ado
bioprobit_d2,bioprobit,bioprobit_d2.ado,ado
bioprobit_p,bioprobit,bioprobit_p.ado,ado
biplot,biplot,biplot.ado,ado
biplot5,biplot,biplot5.ado,ado
biplotvlab,biplotvlab,biplotvlab.ado,ado
bipolar,bipolar,bipolar.ado,ado
bipolate,bipolate,bipolate.ado,ado
biprobit_fixedrho,fixedrho,biprobit_fixedrho.ado,ado
biprobit_fixedrho_lf,fixedrho,biprobit_fixedrho_lf.ado,ado
birthsim,birthsim,birthsim.ado,ado
bitobit,bitobit,bitobit.ado,ado
bitobit_ll,bitobit,bitobit_ll.ado,ado
bivpoisson,bivpoisson,bivpoisson.ado,ado
bking,bking,bking.ado,ado
bking8,bking,bking8.ado,ado
bkrosenblatt,bkrosenblatt,bkrosenblatt.ado,ado
black,color_style,scheme-black.scheme,scheme
black2,color_style,scheme-black2.scheme,scheme
black_brbg,schemepack,scheme-black_brbg.scheme,scheme
black_cividis,schemepack,scheme-black_cividis.scheme,scheme
black_hue,schemepack,scheme-black_hue.scheme,scheme
black_jet,schemepack,scheme-black_jet.scheme,scheme
black_piyg,schemepack,scheme-black_piyg.scheme,scheme
black_ptol,schemepack,scheme-black_ptol.scheme,scheme
black_set3,schemepack,scheme-black_set3.scheme,scheme
black_tableau,schemepack,scheme-black_tableau.scheme,scheme
black_viridis,schemepack,scheme-black_viridis.scheme,scheme
black_w3d,schemepack,scheme-black_w3d.scheme,scheme
blandaltman,blandaltman,blandaltman.ado,ado
blinding,blinding,blinding.ado,ado
blist,blist,blist.ado,ado
block_and_cluster_ra,randomizr,block_and_cluster_ra.ado,ado
block_ra,randomizr,block_ra.ado,ado
blockdes,dcreate,blockdes.ado,ado
blogit2,blogit2,blogit2.ado,ado
blp,blp,blp.ado,ado
bmi,bmi,bmi.ado,ado
bmii,bmi,bmii.ado,ado
bmjcip,bmjcip,bmjcip.ado,ado
bmp2dta,bmp2dta,bmp2dta.ado,ado
bnormpdf,bnormpdf,bnormpdf.ado,ado
boilerplate,mkproject,boilerplate.ado,ado
bollenstine,confa,bollenstine.ado,ado
bom,egenmore,_gbom.ado,ado
bomd,egenmore,_gbomd.ado,ado
boost,boost,boost.ado,ado
boost_predict,boost,boost_predict.ado,ado
boot_drf,ctreatreg,boot_drf.ado,ado
bootsamb,silvermtest,bootsamb.ado,ado
bootstrap_xtdcce2,xtdcce2,bootstrap_xtdcce2.ado,ado
boottest,boottest,boottest.ado,ado
boottest_1,boottest,boottest_1.ado,ado
bothlist,listutil,bothlist.ado,ado
boxcoxsim,ros,boxcoxsim.ado,ado
boxpanel,boxpanel,boxpanel.ado,ado
boxtid,boxtid,boxtid.ado,ado
bpagan,bpagan,bpagan.ado,ado
bpass,bpass,bpass.ado,ado
bpdifmed,bpmedian,bpdifmed.ado,ado
bpmedian,bpmedian,bpmedian.ado,ado
brain,brain,brain.ado,ado
brewcbsim,brewscheme,brewcbsim.ado,ado
brewcolordb,brewscheme,brewcolordb.ado,ado
brewcolors,brewscheme,brewcolors.ado,ado
brewdb,brewscheme,brewdb.ado,ado
brewextra,brewscheme,brewextra.ado,ado
brewlibcheck,brewscheme,brewlibcheck.ado,ado
brewmeta,brewscheme,brewmeta.ado,ado
brewproof,brewscheme,brewproof.ado,ado
brewscheme,brewscheme,brewscheme.ado,ado
brewsearch,brewscheme,brewsearch.ado,ado
brewterpolate,brewscheme,brewterpolate.ado,ado
brewtheme,brewscheme,brewtheme.ado,ado
brewtransform,brewscheme,brewtransform.ado,ado
brewviewer,brewscheme,brewviewer.ado,ado
brglm,brglm,brglm.ado,ado
brmunid,brmunid,brmunid.ado,ado
bronch,bronch,bronch.ado,ado
bronchi,bronch,bronchi.ado,ado
brr_hadamardmatrixfile,survwgt,brr_hadamardmatrixfile.ado,ado
bsens,bsens,bsens.ado,ado
bsopm,bsopm,bsopm.ado,ado
bspline,bspline,bspline.ado,ado
bsrifhdreg,rif,bsrifhdreg.ado,ado
buchinsky,mmsel,buchinsky.ado,ado
buckley,buckley,buckley.ado,ado
bugsdat,bugsdat,bugsdat.ado,ado
bugwrite,bugwrite,bugwrite.ado,ado
build_cond_expectation_1,fuzzydid,build_cond_expectation_1.ado,ado
build_cond_expectation_2,fuzzydid,build_cond_expectation_2.ado,ado
build_stpm2_mlib,stpm2,build_stpm2_mlib.ado,ado
bumparea,bumparea,bumparea.ado,ado
bumpline,bumpline,bumpline.ado,ado
bunchbounds,bunching,bunchbounds.ado,ado
bunchfilter,bunching,bunchfilter.ado,ado
bunching,bunching,bunching.ado,ado
bunchtobit,bunching,bunchtobit.ado,ado
bunchtobit_tloglike,bunching,bunchtobit_tloglike.ado,ado
